node_name,ip,port,node_id
aws-korea-1,15.164.203.211,,74fcdeaca15a1ba178c315d15bba3c69884c687f32ed177442ef0a4bdc5f256e
aws-virginia-1,34.201.66.4,30303,ce95bdf7627a385fe92411a390d94281fa0c153f4578e552981fd12a9a3ff9a3
hetzner-finland-1,65.21.89.21,30304,631b6de63bf21bd601452731b39b065969a059bf5ef8f66b347acc3f9ee79eca
hetzner-finland-1b,65.21.89.21,30303,631b6de63bf21bd601452731b39b065969a059bf5ef8f66b347acc3f9ee79eca
hetzner-finland-2,65.21.197.156,30304,2b7a4cb775ab0169d6c232293313616ad6f666d03965d96b5d7055deb20a15dd
ovh-australia-1a,51.161.196.59,30304,e7d3b942e5eab501f0c3574c485e4a761b725a8bfd188b3b020ea6831afd7c3e
ovh-france-1a,51.91.48.86,30304,93fcae3b41bf9cb2d2cfbe4587a56eeb6a4d5ca53586b682e44030e29a0ab9d9
ovh-france-1b,51.91.48.86,30303,93fcae3b41bf9cb2d2cfbe4587a56eeb6a4d5ca53586b682e44030e29a0ab9d9
ovh-london-1a,51.77.118.157,30304,f1d2a5dee3bdcae401844931b63da83a1a12cde070a336aa808e2db46471c2a5
ovh-london-1b,51.77.118.157,30303,f1d2a5dee3bdcae401844931b63da83a1a12cde070a336aa808e2db46471c2a5
ovh-mumbai-1a,148.113.20.228,30304,594cabb16a1aa9b8043413bd00e0b024ce0423fd77c8edfd98c56e62a4aa7587
ovh-oregon-1a,51.81.155.230,30304,ed57f8e8fe1f5b3139c8b37fa87226c580ce2a9a664d35f8567544049c69c200
ovh-oregon-1b,51.81.155.230,30303,ed57f8e8fe1f5b3139c8b37fa87226c580ce2a9a664d35f8567544049c69c200
ovh-quebec-1a,54.39.18.73,30304,afb205ccccfecfe7807fa054dcb2b3f243b664f916cc31ab8e3363374d0247e9
ovh-quebec-1b,54.39.18.73,30303,df7feef0c2041d6574d9ce0a5c8d64edb27b5bf0b82d358a113f00185d8566c4
ovh-singapore-1a,51.79.231.77,30304,a8d65129ed6d10845940a2519ce7cc2a7ef85d5bcfc584d02cb5511be76cd74a
ovh-virginia-1a,51.81.56.231,30304,0231b967f06cf08e5cf00878509946f104e0ae7a3ebc0b680163a25abfe9bdc4
ovh-virginia-1b,51.81.56.231,30303,0231b967f06cf08e5cf00878509946f104e0ae7a3ebc0b680163a25abfe9bdc4
